"clinic_name","street_address","city","state","zip_code","county_name","last_updated","clinic_website","phone_number","volume_ordered","federal_allocation","georeferenced_latitude_longitude","total_pfizer_ordered","total_moderna_ordered","total_janssen_ordered"
"Rite Aid Store #11075","120 Laurel Plaza","Pittston","Pennsylvania","18640",,"2021-03-17T00:00:00.000",,,,"true","POINT (-75.772758 41.320573)",,,
"Walmart Store #2420","100 Sara Way","Belle Vernon","Pennsylvania","15012",,"2021-03-17T00:00:00.000",,,,"true","POINT (-79.845781 40.137934)",,,
"Rite Aid Store #10926","1222 Brownsville Rd","Pittsburgh","Pennsylvania","15210",,"2021-03-17T00:00:00.000",,,,"true","POINT (-79.990169 40.403651)",,,
"Walmart Store #2540","63 Perkins Rd","Clarion","Pennsylvania","16214",,"2021-03-17T00:00:00.000",,,,"true","POINT (-79.394704 41.189916)",,,
"Rite Aid Store #11068","609 Luzerne Street","Scranton","Pennsylvania","18504",,"2021-03-17T00:00:00.000",,,,"true","POINT (-75.678991 41.4056)",,,
"Rite Aid Store #03364","1303 Shoemaker Street","Nanty Glo","Pennsylvania","15943","Cambria","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-78.83627 40.467793)",,,
"County of Delaware","125 Chester Avenue","Yeadon","Pennsylvania","19050","Delaware","2021-03-29T00:00:00.000",,,"10510","false","POINT (-75.255086 39.923443)",,,
"Cvs/pharmacy17462","912 Airport Center Dr","Allentown","Pennsylvania","181099385","Lehigh","2021-04-07T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (0 0)",,,
"Rite Aid Store #11017","3200 Market Street","Camp Hill","Pennsylvania","17011","Cumberland","2021-04-07T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.934708 40.23987)",,,
"Redners Pharmacy 21","191 Manheim Road","Schuylkill Haven","Pennsylvania","17972","Schuylkill","2021-04-07T00:00:00.000",,"484-248-5873",,"true","POINT (-76.161689 40.644358)",,,
"Vdi-depietros Pharmacy","617 3rd Street","Dunmore","Pennsylvania","18512","Lackawanna","2021-04-07T00:00:00.000",,,"300","false","POINT (-75.634014 41.415651)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-04-13T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"East Shore Pharmacy","2723 Agate Street","Harrisburg","Pennsylvania","17110","Dauphin","2021-04-13T00:00:00.000",,"717-213-0968","500","false","POINT (-76.893913 40.290912)",,,
"St Marys Pharmacy","4 Railroad Street","Saint Marys","Pennsylvania","15857","Elk","2021-04-19T00:00:00.000","https://WWW.SMPRX.COM/VACCINES","814-971-1070","400","false","POINT (-78.560794 41.427735)",,,
"Walmart Store #3541","516 School House Rd","Kennett Square","Pennsylvania","19348","Chester","2021-04-19T00:00:00.000","https://www.walmart.com/cp/1228302",,,"true","POINT (-75.691467 39.860581)",,,
"Cvs/pharmacy17199","8931 Rte 30","North Huntingdon","Pa","156422791","Westmoreland","2021-04-26T00:00:00.000","https://www.cvs.com/immunizations/covid-19-vaccine",,,"true","POINT (0 0)",,,
"Brockie Pharmatech at Pleasant Acres","118 Pleasant Acres Rd","York","Pennsylvania","17402","York","2021-04-26T00:00:00.000",,"717-840-7144",,"true","POINT (-76.64829 39.988697)",,,
"Alberts Pharmacy","201 S. Main Street","Pittston","Pennsylvania","18640","Luzerne","2021-04-26T00:00:00.000",,"717-323-8230",,"false","POINT (-75.793926 41.318492)",,,
"Brockie Pharmatech at Langhorne","275 N Pine St","Langhorne","Pennsylvania","19047","Bucks","2021-04-26T00:00:00.000",,"215-757-8553",,"true","POINT (-74.918377 40.180159)",,,
"Rite Aid Store #11008","353 East 6th Street","Erie","Pennsylvania","16507","Erie","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.077631 42.132157)",,,
"Fpc-pagana Defazio Fam Practice Ctr","1072 Market St","Sunbury","Pennsylvania","17801",,"2021-03-17T00:00:00.000","https://www.fpcdoctors.com/sunbury-pagana-defazio/","570-286-8521","100","false","POINT (-76.783898 40.859111)",,,
"Rite Aid Store #10894","1021 First Avenue","Conway","Pennsylvania","15027","Beaver","2021-03-22T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.23872 40.660066)",,,
"Giant Eagle Pharmacy-63","Murray Ave. & Loretta St.","Pittsburgh","Pennsylvania","15217",,"2021-03-17T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-79.92887 40.42193)",,,
"Giant Eagle Pharmacy-15","1701 Lincoln Hwy","North Versailles","Pennsylvania","15137","Allegheny","2021-04-19T00:00:00.000","https://www.gianteagle.com/covidvaccine",,,"true","POINT (-79.786217 40.370531)",,,
"Evangelical Community Hospital","1 Hospital Drive","Lewisburg","Pennsylvania","17837","Union","2021-04-19T00:00:00.000","https://www.evanhospital.com/virus/","570-522-4530","1170","false","POINT (-76.9037688 40.9602193)",,,
"Vdi-professional Pharm of Pennsburg Inc","931 Main St","Pennsburg","Pennsylvania","18073","Montgomery","2021-04-26T00:00:00.000","https://www.professionalrx.net/covid-19.php","215-679-9700",,"false","POINT (-75.490221 40.387991)",,,
"Rite Aid Store #02000","330 Cumberland Parkway","Mechanicsburg","Pennsylvania","17055","Cumberland","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-76.980254 40.193147)",,,
"Rite Aid Store #01406","521 North Fraley Street","Kane","Pennsylvania","16735","Mckean","2021-03-29T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-78.813312 41.669206)",,,
"Rite Aid Store #00264","375 Philadelphia Street","Indiana","Pennsylvania","15701","Indiana","2021-04-07T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-79.145158 40.622918)",,,
"Rite Aid Store #11916","4770 Mcknight Road Ste a","Pittsburgh","Pennsylvania","15237","Allegheny","2021-04-19T00:00:00.000","https://www.riteaid.com/pharmacy/covid-qualifier",,,"true","POINT (-80.00492 40.520288)",,,
